name,review_count,categories,rating,coordinates,price,phone,address
Feng Cha Teahouse,81,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.6,"37.5863038,-122.3642615",$,(650) 781-3001,"1199 Broadway Ste 2, Burlingame, CA 94010, USA"
Happy Lemon,213,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.57742349999999,-122.3485017",$$,(650) 389-2723,"1419 Burlingame Ave ste a, Burlingame, CA 94010, USA"
Mr. Green Bubble | Menlo Park,87,"['cafe', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,"37.453325,-122.1835405",$,(650) 494-4944,"604 Santa Cruz Ave, Menlo Park, CA 94025, USA"
Gong Cha,285,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.4475641,-122.1608869",$,(650) 494-4173,"439 Waverley St, Palo Alto, CA 94301, USA"
Sharetea San Mateo,120,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5663241,-122.3226548",$,(650) 581-1951,"220 Main St, San Mateo, CA 94401, USA"
Kung Fu Tea,111,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.4461192,-122.1610784",$,(650) 391-9299,"318 University Ave, Palo Alto, CA 94301, USA"
Mr. Green Bubble | San Mateo,136,"['cafe', 'food', 'point_of_interest', 'establishment']",3.8,"37.5445109,-122.2850662",$,(650) 358-0352,"2986 S Norfolk St, San Mateo, CA 94403, USA"
Boba Guys Burlingame,84,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.5795951,-122.347498",$,,"1212 Donnelly Ave, Burlingame, CA 94010, USA"
Tea Hut,83,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.5051418,-122.259372",,(650) 412-4273,"711 Laurel St, San Carlos, CA 94070, USA"
Sharetea Hillsdale Mall,36,"['cafe', 'food', 'point_of_interest', 'establishment']",3.3,"37.5381285,-122.3012975",$,(650) 458-3028,"Hillsdale Shopping Center Dining Terrace (Upper Level 60 East, 31st Ave, San Mateo, CA 94403, USA"
Teaspoon,224,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.578391,-122.3467314",$,(650) 781-3908,"240 Park Rd, Burlingame, CA 94010, USA"
Kiss My Boba,73,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.6183466,-122.409612",,(650) 445-3533,"221 El Camino Real, San Bruno, CA 94066, USA"
Tea it Up,93,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.3,"37.4525191,-122.1816761",,,"993 El Camino Real, Menlo Park, CA 94025, USA"
Teaspoon Redwood City,479,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.4862955,-122.2307543",$,(650) 362-3488,"2361 Broadway, Redwood City, CA 94063, USA"
Ume Tea,53,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.4261194,-122.1447222",,(650) 752-6149,"421 California Ave, Palo Alto, CA 94306, USA"
Societea Tea House & Eatery,154,"['cafe', 'point_of_interest', 'food', 'establishment']",4.6,"37.622882,-122.41114",$,(650) 636-4494,"446 San Mateo Ave, San Bruno, CA 94066, USA"
Cha Express,196,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.5651052,-122.3228174",$,(650) 865-3148,"212 E 3rd Ave, San Mateo, CA 94401, USA"
Tpumps,338,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5795191,-122.3459633",$,(510) 398-8499,"1118 Burlingame Ave, Burlingame, CA 94010, USA"
Wanpo Tea Shop,117,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.4427023,-122.1726089",,(650) 889-6606,"660 Stanford Shopping Center Ste 721, Palo Alto, CA 94304, USA"
Tiger Tea & Juice,289,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.5,"37.5939818,-122.3843043",$,(415) 264-8907,"1803 El Camino Real, Burlingame, CA 94010, USA"
Boba Guys Palo Alto,449,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.43860069999999,-122.1589247",$,,"855 El Camino Real #120, Palo Alto, CA 94301, USA"
Teaspoon San Mateo,512,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.4,"37.5643177,-122.3238878",$,(650) 393-5727,"128 E 3rd Ave, San Mateo, CA 94401, USA"
Teaspoon,1002,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.4012135,-122.1144238",$,(650) 209-5071,"4546 El Camino Real a11, Los Altos, CA 94022, USA"
Yifang Taiwan Fruit Tea,59,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5668226,-122.3240251",$,(650) 727-3963,"110 S B St, San Mateo, CA 94401, USA"
Happy Lemon,38,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.4859465,-122.2288828",$,(650) 549-8148,"851 Middlefield Rd, Redwood City, CA 94063, USA"
TeaEver,78,"['cafe', 'food', 'point_of_interest', 'establishment']",3.9,"37.59988999999999,-122.3894478",$,(650) 231-8041,"153 El Camino Real, Millbrae, CA 94030, USA"
Teatime,78,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,"37.4845396,-122.2325183",$,(650) 299-9888,"1003 El Camino Real, Redwood City, CA 94063, USA"
Teaspoon,544,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.5,"37.4340874,-122.1294149",$,(650) 272-6734,"2675 Middlefield Rd C, Palo Alto, CA 94306, USA"
Happy Lemon,335,"['cafe', 'point_of_interest', 'food', 'establishment']",4.4,"37.5591066,-122.267132",$,(650) 376-3889,"780 Alma Ln STE 170, Foster City, CA 94404, USA"
Pop Tea Bar,241,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.5,"37.426517,-122.1462119",$,(650) 473-6511,"456 Cambridge Ave, Palo Alto, CA 94306, USA"
Happy Lemon,192,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",4.2,"37.6372435,-122.4176222",$,(650) 686-9688,"The Shops at Tanforan, 1188 El Camino Real, San Bruno, CA 94066, USA"
Quickly,124,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.1,"37.4917634,-122.2243167",$,(650) 752-8950,"300 Walnut St, Redwood City, CA 94063, USA"
Heeretea,12,"['cafe', 'food', 'point_of_interest', 'establishment']",4.3,"37.5659144,-122.3224104",,,"253 S B St, San Mateo, CA 94401, USA"
Quickly,142,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,"37.6389453,-122.421122",$,(650) 873-9800,"1212 El Camino Real suite A, San Bruno, CA 94066, USA"
Milk Tea Lab,181,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.6492149,-122.4295312",$,(650) 745-8612,"630 El Camino Real, South San Francisco, CA 94080, USA"
Tan-Cha,54,"['cafe', 'food', 'point_of_interest', 'establishment']",3.3,"37.5640217,-122.3229094",$,(650) 477-2656,"165 E 4th Ave, San Mateo, CA 94401, USA"
Tpumps,388,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.4,"37.5573673,-122.274651",$,(510) 398-8499,"985 E Hillsdale Boulevard, Metro Center Blvd, Foster City, CA 94404, USA"
Chatime Express (Located in DoorDash Kitchens),30,"['meal_delivery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,"37.4789253,-122.2230872",,,"1531 Main St Unit #3, Redwood City, CA 94063, USA"
Bambu Desserts & Drinks,109,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']",4.3,"37.6004739,-122.3900371",$,(650) 231-8217,"203 El Camino Real, Millbrae, CA 94030, USA"
HE & C Tea,4,"['cafe', 'point_of_interest', 'food', 'establishment']",5,"37.5655676,-122.3234301",,,"215 S Ellsworth Ave, San Mateo, CA 94401, USA"
Spill the Tea,131,"['cafe', 'food', 'point_of_interest', 'establishment']",4.7,"37.4839776,-122.2325421",,,"Redwood City, CA 94062, USA"
T4,433,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",4.1,"37.4445201,-122.1633847",$,(650) 321-5588,"165 University Ave #D, Palo Alto, CA 94301, USA"
TP TEA San Mateo,40,"['cafe', 'food', 'point_of_interest', 'establishment']",4.5,"37.5634216,-122.3238095",,(650) 513-1754,"65 E 4th Ave, San Mateo, CA 94401, USA"
Rare Tea | San Mateo,35,"['cafe', 'food', 'point_of_interest', 'establishment']",4.6,"37.5337544,-122.3272165",,(650) 389-6625,"1330 W Hillsdale Blvd, San Mateo, CA 94403, USA"
Urban Ritual,188,"['cafe', 'food', 'point_of_interest', 'establishment']",4.4,"37.5665398,-122.3237254",,(650) 458-3298,"140 S B St, San Mateo, CA 94401, USA"
TeAmo,98,"['cafe', 'food', 'point_of_interest', 'establishment']",4.2,"37.4131249,-122.1250582",$,(650) 752-6145,"4131 El Camino Real #101, Palo Alto, CA 94306, USA"
BeauTea,108,"['cafe', 'food', 'point_of_interest', 'establishment']",4.1,"37.6554464,-122.4119506",$,(650) 873-8183,"375 Grand Ave, South San Francisco, CA 94080, USA"
