City,Country,Climate-related hazards (ORIGINAL),Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Abidjan,Ivory Coast,Air pollution,Air pollution,Medium High,Medium High,None,None,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Coastal flooding,Coastal flooding,High,High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Extreme heat,Extreme heat,Medium,Medium High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Heavy precipitation,Heavy precipitation,High,High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Infectious disease,Infectious disease,Medium High,Medium High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Mass movement,Mass movement,High,High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Abidjan,Ivory Coast,Urban flooding,Urban flooding,High,High,Increasing,Increasing,6110642,"5.36, -4.0083 "
Accra,Ghana,Urban flooding,Urban flooding,High,High,Increasing,No Data,2036889,"5.56543, -0.16819 "
Addis Ababa,Ethiopia,Drought,Drought,High,High,Increasing,Increasing,3126469,"9.02887, 38.7544 "
Addis Ababa,Ethiopia,River flooding,River flooding,High,High,Increasing,Increasing,3126469,"9.02887, 38.7544 "
Amman,Jordan,Drought,Drought,High,High,Increasing,Increasing,3857733,"31.9454, 35.9284 "
Amman,Jordan,Extreme heat,Extreme heat,High,Medium,Increasing,Increasing,3857733,"31.9454, 35.9284 "
Amman,Jordan,Snow and ice,Snow and ice,Medium High,Medium,None,No Data,3857733,"31.9454, 35.9284 "
Amman,Jordan,Urban flooding,Urban flooding,Medium High,Medium High,Increasing,Increasing,3857733,"31.9454, 35.9284 "
Amsterdam,Netherlands,Coastal flooding,Coastal flooding,Low,Low,Increasing,No Data,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Drought,Drought,Medium,Medium High,Increasing,No Data,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Extreme heat,Extreme heat,High,Medium Low,Increasing,No Data,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Heavy precipitation,Heavy precipitation,Medium,Medium High,Increasing,No Data,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,River flooding,River flooding,Low,Low,Increasing,No Data,881933,"52.3702, 4.89516 "
Athens,Greece,Drought,Drought,High,Medium,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Extreme heat,Extreme heat,High,High,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Heat stress,Heat stress,High,High,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Urban flooding,Urban flooding,Medium,Medium,Increasing,Increasing,640255,"37.9838, 23.7275 "
Auckland,New Zealand,Coastal flooding,Coastal flooding,Medium,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Drought,Drought,High,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Extreme heat,Extreme heat,Medium High,Medium,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Extreme wind,Extreme wind,Medium High,Medium,Increasing,Increasing,1680500,"-36.8153, 174.742 "
