City,Country,Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Lagos,Nigeria,Coastal flooding,Medium,Medium,Increasing,None,24600000,"6.52437, 3.3792 "
Lagos,Nigeria,Extreme heat,High,High,Increasing,Increasing,24600000,"6.52437, 3.3792 "
Lagos,Nigeria,Urban flooding,Medium High,Medium High,Increasing,None,24600000,"6.52437, 3.3792 "
Delhi,India,Extreme heat,High,High,Increasing,Increasing,20600000,"28.704, 77.1025 "
Delhi,India,Infectious disease,High,Medium,Increasing,Increasing,20600000,"28.704, 77.1025 "
Delhi,India,Water stress,Medium High,High,Increasing,Increasing,20600000,"28.704, 77.1025 "
Karachi,Pakistan,Extreme heat,High,High,Increasing,Increasing,16024894,"24.9108, 67.1281 "
Istanbul,Turkey,Drought,Low,Low,Decreasing,Decreasing,15840900,"41.0082, 28.9784 "
Istanbul,Turkey,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,15840900,"41.0082, 28.9784 "
Istanbul,Turkey,Heavy precipitation,Low,Low,Decreasing,Decreasing,15840900,"41.0082, 28.9784 "
Istanbul,Turkey,Urban flooding,Medium,Medium,Decreasing,Decreasing,15840900,"41.0082, 28.9784 "
Tokyo,Japan,Air pollution,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Coastal flooding,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Extreme heat,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Infectious disease,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Mass movement,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Urban flooding,,,,,14016946,"35.41, 139.41 "
Tokyo,Japan,Water stress,,,,,14016946,"35.41, 139.41 "
Wuhan,China,Heavy precipitation,Medium,Medium,Increasing,Increasing,13648900,"30.6435, 114.325 "
Bangalore,India,Air pollution,Medium,Medium,Increasing,Increasing,13000000,"12.9716, 77.5946 "
Bangalore,India,Drought,Medium,Medium,Increasing,Increasing,13000000,"12.9716, 77.5946 "
Bangalore,India,Heat stress,Medium High,Medium,Increasing,Increasing,13000000,"12.9716, 77.5946 "
Bangalore,India,Storm,Medium High,Medium High,Increasing,Increasing,13000000,"12.9716, 77.5946 "
Bangalore,India,Urban flooding,High,Medium High,Increasing,Increasing,13000000,"12.9716, 77.5946 "
Mumbai,India,Extreme heat,Medium High,Medium High,Increasing,Increasing,12875213,"19.0760, 72.8777"
Mumbai,India,Urban flooding,Medium High,Medium High,Increasing,Increasing,12875213,"19.0760, 72.8777"
Sao Paulo,Brazil,Drought,Medium High,Medium,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Extreme wind,Medium,Medium,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Heavy precipitation,Medium High,Medium High,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Heavy precipitation,High,High,Decreasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,Mass movement,Medium High,Medium High,Increasing,Decreasing,12330000,"-23.5595, -46.7382 "
Sao Paulo,Brazil,River flooding,Medium High,Medium High,Increasing,Increasing,12330000,"-23.5595, -46.7382 "
Dhaka,Bangladesh,Air pollution,,,,,12000000,"23.8103, 90.4125 "
